Google Map顯示名稱(全名),Google Map url,新的url(不需調整請填x)
新竹大碩研究所,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.8035292,120.9739808,20z/data=!4m5!3m4!1s0x346835c240c90c65:0x9873b77565f9bf77!8m2!3d24.8035667!4d120.9737682?hl=en-US",
新竹大碩研究所,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80/@24.8035292,120.9739808,20z/data=!4m5!3m4!1s0x346835c240c90c65:0x9873b77565f9bf77!8m2!3d24.8035667!4d120.9737682?hl=en-US",
TKB中壢數位學堂,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",
TKB中壢數位學堂,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",
TKB中壢數位學堂,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",
TKB中壢數位學堂,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",
TKB中壢數位學堂,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",
TKB中壢數位學堂,"https://www.google.com/maps/place/TKB%E4%B8%AD%E5%A3%A2%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.9520942,121.2252504,20.5z/data=!4m5!3m4!1s0x3468224927c2c0db:0x3e60eeec8d33b653!8m2!3d24.9520969!4d121.2252611?hl=en-US",
TKB桃園數位學堂 (大碩研究所/百官公職/國營/龍門轉學考/甄戰書審/洋碩美語）,"https://www.google.com/maps/place/TKB%E6%A1%83%E5%9C%92%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E5%85%AC%E8%81%B7%2F%E7%A0%94%E7%A9%B6%E6%89%80%2F%E8%BD%89%E5%AD%B8%E8%80%83%2F%E6%B4%8B%E7%A2%A9%2F%E7%94%84%E6%88%B0)/@24.989875,121.311946,15z/data=!4m5!3m4!1s0x0:0xf8982d48864941ee!8m2!3d24.989875!4d121.311946?hl=en-US",
TKB大碩苗栗數位學堂,"https://www.google.com/maps/place/TKB%E5%A4%A7%E7%A2%A9%E8%8B%97%E6%A0%97%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.5695286,120.8230057,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x31c95e0509d47199!8m2!3d24.5695286!4d120.8230057?hl=en",
TKB 高中一點通/國小議題式閱讀寫作/國高中數位教材/學習歷程輔導,"https://www.google.com/maps/place/TKB+%E9%AB%98%E4%B8%AD%E4%B8%80%E9%BB%9E%E9%80%9A%2F%E5%9C%8B%E5%B0%8F%E8%AD%B0%E9%A1%8C%E5%BC%8F%E9%96%B1%E8%AE%80%E5%AF%AB%E4%BD%9C%2F%E5%9C%8B%E9%AB%98%E4%B8%AD%E6%95%B8%E4%BD%8D%E6%95%99%E6%9D%90%2F%E5%AD%B8%E7%BF%92%E6%AD%B7%E7%A8%8B%E8%BC%94%E5%B0%8E/@24.8035774,120.9738357,15z/data=!4m14!1m7!3m6!1s0x3468359154dc39ed:0xf547dc5da01e24f3!2zVEtCIOmrmOS4reS4gOm7numAmi_lnIvlsI_orbDpoYzlvI_plrHoroDlr6vkvZwv5ZyL6auY5Lit5pW45L2N5pWZ5p2QL-WtuOe_kuatt-eoi-i8lOWwjg!8m2!3d24.8035774!4d120.9738357!16s%2Fg%2F11trwp3qwq!3m5!1s0x3468359154dc39ed:0xf547dc5da01e24f3!8m2!3d24.8035774!4d120.9738357!16s%2Fg%2F11trwp3qwq",
大碩研究所(台南館),"https://www.google.com/maps/place/%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80(%E5%8F%B0%E5%8D%97%E9%A4%A8)/@22.997674,120.208462,15z/data=!4m5!3m4!1s0x0:0xdc5f4eadb494d841!8m2!3d22.9976735!4d120.2084621?hl=en-US",
