區域,url,name,Google map 名稱
北,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E6%96%B0%E8%8E%8A%E4%B8%AD%E6%AD%A3%E9%A4%A8)(%E7%99%BE%E5%AE%98%E7%B6%B2%E5%85%AC%E8%81%B7%2F%E6%B4%8B%E7%A2%A91%E5%B0%8D5%E7%BE%8E%E8%AA%9E%2F%E5%A4%A7%E7%A2%A9%E7%A0%94%E7%A9%B6%E6%89%80%2F%E7%94%84%E6%88%B0:%E9%AB%98%E4%B8%AD%E5%8D%87%E5%A4%A7%E6%95%B8%E4%BD%8D%E8%AA%B2%E7%A8%8B)/@25.0365068,121.453012,19z/data=!4m12!1m6!3m5!1s0x0:0xfad47bf1d902523e!2zVEtC5pW45L2N5a245aCCKOaWsOiOiuS4reato-mkqCko55m-5a6Y57ay5YWs6IG3L-a0i-eiqTHlsI01576O6KqeL-Wkp-eiqeeglOeptuaJgC_nlITmiLA66auY5Lit5Y2H5aSn5pW45L2N6Kqy56iLKQ!8m2!3d25.0365362!4d121.4532989!3m4!1s0x0:0xfad47bf1d902523e!8m2!3d25.0365362!4d121.4532989?hl=en",新莊中正數位學堂,TKB數位學堂(新莊中正館)
中,"https://www.google.com/maps/place/%E5%8F%B0%E4%B8%AD%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@24.136016,120.681921,15z/data=!4m5!3m4!1s0x0:0x3b083c81c705c8a0!8m2!3d24.1360157!4d120.6819213?hl=en-US",台中洋碩,台中洋碩美語
中,"https://www.google.com/maps/place/%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E+%E8%A5%BF%E5%B1%AF%E5%BA%97/@24.172795,120.646434,15z/data=!4m5!3m4!1s0x0:0xe652fa8def4afdd7!8m2!3d24.172795!4d120.646434?hl=en-US",西屯洋碩,台中洋碩美語 西屯店
南,"https://www.google.com/maps/place/%E5%8F%B0%E5%8D%97%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@22.997618,120.208644,15z/data=!4m5!3m4!1s0x0:0x7fe5fd4777db62f9!8m2!3d22.9976175!4d120.2086437?hl=en-US",台南洋碩,台南洋碩美語
南,"https://www.google.com/maps/place/%E9%AB%98%E9%9B%84%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@22.635982,120.304175,15z/data=!4m5!3m4!1s0x0:0x1faaa312b69c3584!8m2!3d22.6359816!4d120.3041751?hl=en-US",高雄洋碩,高雄洋碩美語
北,"https://www.google.com/maps/place/%E6%96%B0%E7%AB%B9%E6%B4%8B%E7%A2%A9%E7%BE%8E%E8%AA%9E/@24.8035349,120.9738396,21z/data=!4m5!3m4!1s0x346835c2f2250b61:0x849e574408a785fc!8m2!3d24.8035731!4d120.9738282?hl=en-US",新竹洋碩,新竹洋碩美語
中,"https://www.google.com/maps/place/TKB%E5%A4%A7%E7%A2%A9%E8%8B%97%E6%A0%97%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82/@24.5695286,120.8230057,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x31c95e0509d47199!8m2!3d24.5695286!4d120.8230057?hl=en",苗栗數位學堂,TKB大碩苗栗數位學堂
北,"https://www.google.com/maps/place/TKB%E5%8F%B0%E5%8C%97%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E7%A0%94%E7%A9%B6%E6%89%80%2F%E5%85%AC%E8%81%B7%2F%E5%9C%8B%E7%87%9F%E4%BA%8B%E6%A5%AD%2FPMP.ACP.PBA.RMP%2F%E5%A4%9A%E7%9B%8A%E6%89%98%E7%A6%8F%E9%9B%85%E6%80%9DGRE.GMAT%2F%E5%87%BA%E5%9C%8B%E7%95%99%E9%81%8A%E5%AD%B8%E4%BB%A3%E8%BE%A6%2F%E9%AB%98%E5%8D%87%E5%A4%A7%E4%B8%80%E9%BB%9E%E9%80%9A%E6%95%B8%E4%BD%8D%E6%95%99%E6%9D%90%2F%E6%8A%80%E5%B8%AB%2F%E7%B6%93%E6%BF%9F%E9%83%A8%E8%81%AF%E6%8B%9B%2F%E4%B8%AD%E8%8F%AF%E9%9B%BB%E4%BF%A1)/@25.0459043,121.5125784,20z/data=!4m15!1m8!3m7!1s0x3442a90ce7ad3edd:0xe705af4e2af312e3!2zMTAw5Y-w5YyX5biC5Lit5q2j5Y2A6ZaL5bCB6KGX5LiA5q61MzLomZ8!3b1!8m2!3d25.0459143!4d121.5125885!16s%2Fg%2F11c23y768b!3m5!1s0x3442a90ce7ad3edd:0xb489f9957acc1c99!8m2!3d25.0459733!4d121.512505!16s%2Fg%2F1w0h569v",台北數位學堂,TKB台北數位學堂(研究所/公職/國營事業/PMP.ACP.PBA.RMP/多益托福雅思GRE.GMAT/出國留遊學代辦/高升大一點通數位教材/技師/經濟部聯招/中華電信)
北,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E4%B8%89%E5%B3%BD%E5%AD%B8%E5%A0%82)/@24.942668,121.372789,15z/data=!4m5!3m4!1s0x0:0x1fc5d6791210c57a!8m2!3d24.9426684!4d121.3727892?hl=en-US",三峽數位學堂,TKB(大碩)三峽數位學堂 公職/國營/TOEFL/GRE/TOEIC/IELTS/GMAT/研究所/高中升大學數位教材
北,"https://www.google.com/maps/place/TKB%E6%95%B8%E4%BD%8D%E5%AD%B8%E5%A0%82(%E6%96%B0%E8%8E%8A%E5%BB%BA%E8%88%88%E9%A4%A8)/@25.0360987,121.4497853,21z/data=!4m8!1m2!2m1!1z5paw6I6KIOaVuOS9jeWtuOWggg!3m4!1s0x0:0x2a94fc50d5034b96!8m2!3d25.036065!4d121.4498686?hl=en",新莊建興數位學堂,TKB數位學堂(新莊建興館)
